epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,400.232,0.68286,0.82958,1.07376,0.89891,0.37159,0.45875,0.28502,1.86076,2.1784,1.51106,1.68333e-05,1.68333e-05,1.68333e-05
86,404.482,0.92079,0.95548,1.43153,0.89891,0.37159,0.45875,0.28502,1.86076,2.1784,1.51106,1.60323e-05,1.60323e-05,1.60323e-05
87,408.382,0.88848,0.93999,1.26169,0.89891,0.37159,0.45875,0.28502,1.86076,2.1784,1.51106,1.52077e-05,1.52077e-05,1.52077e-05
88,412.058,0.79131,0.61653,1.2429,0.90054,0.37106,0.45607,0.2848,1.87269,2.17963,1.51,1.43596e-05,1.43596e-05,1.43596e-05
89,417.386,0.85694,0.87004,1.21177,0.90054,0.37106,0.45607,0.2848,1.87269,2.17963,1.51,1.34879e-05,1.34879e-05,1.34879e-05
90,421.608,0.70561,0.7952,1.04944,0.90054,0.37106,0.45607,0.2848,1.87269,2.17963,1.51,1.25927e-05,1.25927e-05,1.25927e-05
91,429.953,0.54642,0.59296,1.14173,0.90054,0.37106,0.45607,0.2848,1.87269,2.17963,1.51,1.16739e-05,1.16739e-05,1.16739e-05
92,443.617,0.46147,0.43718,0.86803,0.79124,0.5,0.51208,0.29498,1.85923,2.27225,1.52008,1.07315e-05,1.07315e-05,1.07315e-05
93,452.912,0.64012,0.55202,1.25064,0.79124,0.5,0.51208,0.29498,1.85923,2.27225,1.52008,9.76562e-06,9.76562e-06,9.76562e-06
94,460.49,0.62197,0.49897,1.02077,0.79124,0.5,0.51208,0.29498,1.85923,2.27225,1.52008,8.77613e-06,8.77613e-06,8.77613e-06
95,468.492,0.75716,0.6815,1.26762,0.79124,0.5,0.51208,0.29498,1.85923,2.27225,1.52008,7.76308e-06,7.76308e-06,7.76308e-06
